profile,coordinate_source,match_id,team_id,match_period,start_event_id,start_type,start_ts,end_ts,duration_s,in_play_duration_s,start_x,max_x,end_x,progression_x,directness,pass_count,action_count,start_zone,success_primary_shot,success_primary_shot_box,goal_count,success_secondary_box_entry,success_secondary_final_third_entry,start_goal_distance_m,min_goal_distance_m,progression_goal_m,avg_progress_speed_mps,required_speed_mps,speed_ratio,progress_fraction,time_fraction,scaled_ratio_to_max,scaled_distance_factor,scaled_max_duration_s,scaled_max_passes,required_min_duration_s,tracking_start_x_m_raw,tracking_start_y_m_raw,tracking_attacking_left,tracking_start_dt_s
balanced_v2_scaled_tracking_coords,tracking,5544198,12046,1H,2220250128,duel,287.977,297.64,9.663000000000011,9.663000000000011,25.649012995219348,91.600527011768,91.600527011768,65.95151401654864,1.0,4,5,defensive_third,0,0,0,0,1,82.24363102108109,31.84474919282335,50.398881828257736,5.2156557827028545,3.4722222222222223,1.502108865418422,0.6127998144359561,0.36250352694468974,0.745879470102382,1.5680171983336606,26.65629237167223,8,3.6335855286397236,-26.850987004780652,21.62026144381383,0,0.016999999999995907
balanced_v2_scaled_tracking_coords,tracking,5544198,7712,1H,2220250711,interception,877.548,886.301,8.753000000000043,8.753000000000043,20.97170934767459,54.05866458680754,54.05866458680754,33.08695523913295,0.5173652584621569,8,9,defensive_third,0,0,0,0,0,85.29365876497509,54.30852360975399,30.9851351552211,3.5399446081595967,3.4722222222222223,1.019504047149964,0.3632759527950372,0.31692067054945017,0.7728145191789381,1.624641119332859,27.618899028658603,9,3.7004041521760773,31.52829065232541,14.637438148949862,1,0.011999999999943611
balanced_v2_scaled_tracking_coords,tracking,5544198,12046,1H,2220250221,interception,935.643,939.502,3.8589999999999236,3.8589999999999236,43.20271704531363,62.30511457998752,62.30511457998752,19.102397534673884,1.0,3,4,middle_third,0,0,0,0,0,68.25988335853691,44.70600859132306,23.55387476721385,6.10362134418614,3.4722222222222223,1.7578429471256083,0.34506174942457013,0.17416598986287574,0.6199837927691804,1.3033543470726805,22.15702390023557,7,3.382818327924091,-9.297282954686366,-28.99150730023355,0,0.0030000000000427463
balanced_v2_scaled_tracking_coords,tracking,5544198,12046,1H,2220250425,interception,1853.486,1865.123,11.636999999999944,11.636999999999944,30.686015090828327,101.00754668394578,99.86683737824444,70.32153159311744,0.9446589137385732,2,4,defensive_third,0,0,0,1,1,74.36593045429461,20.32013269243062,54.045797761863994,4.644306759634292,3.4722222222222223,1.337560346774676,0.7267548113995642,0.4820696254862916,0.6754608414181693,1.4199803836928702,24.139666522778793,8,3.5616283558453095,-21.813984909171673,2.779075251299865,0,0.0060000000000854925
balanced_v2_scaled_tracking_coords,tracking,5544198,12046,2H,2220250827,interception,3830.607,3835.013,4.405999999999949,4.405999999999949,46.10506486125947,73.74950060505086,71.32024908794779,27.644435743791384,0.8894752063145928,1,2,middle_third,0,0,0,0,1,60.96807989994864,32.32520842916221,28.64287147078643,6.500878681522188,3.4722222222222223,1.8722530602783902,0.46980110769095357,0.22288808098063914,0.5531291649404513,1.1628099153976084,19.767768561759343,6,3.3413562162677217,-6.394935138740529,-15.763672848992655,0,0.006999999999607098
balanced_v2_scaled_tracking_coords,tracking,5544198,12046,2H,2220250899,duel,4144.695,4148.429,3.7340000000003783,3.7340000000003783,42.36722110809217,62.44687319372534,62.44687319372534,20.07965208563317,0.9652877955944535,1,2,middle_third,0,0,0,0,0,62.81255316360953,43.204131063953064,19.608422099656465,5.2513181841602785,3.4722222222222223,1.5123796370381601,0.3121736199543089,0.18370462935568121,0.5687522442787615,1.195653368093845,20.326107257595364,6,3.3947539841701118,-10.132778891907833,4.748878099999871,0,0.014999999999417923
balanced_v2_scaled_tracking_coords,tracking,5544198,7712,2H,2220251632,duel,4185.098,4200.077,14.97900000000027,14.97900000000027,14.092322551573872,99.03458223991501,99.03458223991501,84.94225968834114,0.9156488089241156,4,8,defensive_third,0,0,0,1,1,91.0211061121849,15.102613651461164,75.91849246072373,5.068328490601666,3.4722222222222223,1.4596786052932798,0.8340756963242463,0.5086505432067612,0.8240094997492146,1.7322652237897525,29.448508804425792,9,3.7986811064060877,38.40767744842613,4.542679695789744,1,0.018000000000029104
balanced_v2_scaled_tracking_coords,tracking,5544199,17322,1H,2220315340,duel,1321.544,1327.329,5.7849999999998545,5.7849999999998545,54.53967835441006,84.24234503131446,84.24234503131446,29.7026666769044,0.9901614323277492,3,5,middle_third,0,0,0,0,1,56.978526305174896,20.783249510076928,36.19527679509797,6.256746204857196,3.43225972877128,1.822923292316534,0.6352441725368149,0.31385897455289125,0.5157482015604582,1.0842261819398897,18.431845092978126,6,3.220861737794142,2.039678354410057,26.463340668424962,0,0.0064020000002074084
balanced_v2_scaled_tracking_coords,tracking,5544199,2413,2H,2220316011,interception,2891.711,2906.017,14.30600000000004,14.30600000000004,18.205892201132265,77.3988387643126,73.43101705515927,59.192946563180335,0.7028259415944598,2,4,defensive_third,0,0,0,0,1,86.8918715898702,27.61957970965125,59.27229188021896,4.143177120104767,3.4722222222222223,1.1932350105901728,0.6821385107226633,0.5080222267350597,0.7879604461091139,1.6564814834441821,28.160185218551096,9,3.7399158256981107,-34.294107798867735,-4.120703797777566,0,0.006635999999616615
balanced_v2_scaled_tracking_coords,tracking,5544199,17322,2H,2220316406,duel,3880.942,3885.707,4.764999999999873,4.764999999999873,78.78671114663531,100.67225715115242,100.30963126125468,21.88554600451711,0.9564653369540698,1,4,attacking_third,0,0,0,1,1,29.22513881174305,5.141522337130762,24.08361647461229,5.054274181450773,3.0882352941176476,1.6366221158983452,0.8240719275877373,0.5035199754314712,0.26479825025409115,0.5566693106998676,9.463378281897748,3,2.874475555048067,-26.286711146635316,-12.921773332469385,1,0.0023639999999431893
